,provinceStateName,deathCt,peoplePositiveCasesCt,countryShortName,date,state-county
0,Alabama,161,11347,US,2022-01-04,Alabama-Autauga
1,Alabama,161,11478,US,2022-01-05,Alabama-Autauga
2,Alabama,161,11638,US,2022-01-06,Alabama-Autauga
3,Alabama,162,11789,US,2022-01-07,Alabama-Autauga
4,Alabama,162,11856,US,2022-01-08,Alabama-Autauga
5,Alabama,162,11975,US,2022-01-09,Alabama-Autauga
6,Alabama,594,40838,US,2022-01-04,Alabama-Baldwin
7,Alabama,594,41312,US,2022-01-05,Alabama-Baldwin
8,Alabama,598,41855,US,2022-01-06,Alabama-Baldwin
9,Alabama,601,42391,US,2022-01-07,Alabama-Baldwin
10,Alabama,603,42738,US,2022-01-08,Alabama-Baldwin
11,Alabama,603,43285,US,2022-01-09,Alabama-Baldwin
12,Alabama,81,3999,US,2022-01-04,Alabama-Barbour
13,Alabama,81,4036,US,2022-01-05,Alabama-Barbour
14,Alabama,83,4101,US,2022-01-06,Alabama-Barbour
15,Alabama,83,4150,US,2022-01-07,Alabama-Barbour
16,Alabama,83,4180,US,2022-01-08,Alabama-Barbour
17,Alabama,83,4263,US,2022-01-09,Alabama-Barbour
18,Alabama,95,4616,US,2022-01-04,Alabama-Bibb
19,Alabama,95,4680,US,2022-01-05,Alabama-Bibb
20,Alabama,95,4730,US,2022-01-06,Alabama-Bibb
21,Alabama,95,4815,US,2022-01-07,Alabama-Bibb
22,Alabama,95,4857,US,2022-01-08,Alabama-Bibb
23,Alabama,95,4914,US,2022-01-09,Alabama-Bibb
24,Alabama,198,11430,US,2022-01-04,Alabama-Blount
25,Alabama,198,11497,US,2022-01-05,Alabama-Blount
26,Alabama,198,11587,US,2022-01-06,Alabama-Blount
27,Alabama,199,11690,US,2022-01-07,Alabama-Blount
28,Alabama,202,11749,US,2022-01-08,Alabama-Blount
29,Alabama,202,11828,US,2022-01-09,Alabama-Blount
30,Alabama,46,1724,US,2022-01-04,Alabama-Bullock
31,Alabama,46,1752,US,2022-01-05,Alabama-Bullock
32,Alabama,46,1783,US,2022-01-06,Alabama-Bullock
33,Alabama,46,1806,US,2022-01-07,Alabama-Bullock
34,Alabama,46,1831,US,2022-01-08,Alabama-Bullock
35,Alabama,46,1851,US,2022-01-09,Alabama-Bullock
36,Alabama,102,3695,US,2022-01-04,Alabama-Butler
37,Alabama,102,3773,US,2022-01-05,Alabama-Butler
38,Alabama,102,3838,US,2022-01-06,Alabama-Butler
39,Alabama,102,3896,US,2022-01-07,Alabama-Butler
40,Alabama,102,3919,US,2022-01-08,Alabama-Butler
41,Alabama,102,3985,US,2022-01-09,Alabama-Butler
42,Alabama,532,23801,US,2022-01-04,Alabama-Calhoun
43,Alabama,532,24047,US,2022-01-05,Alabama-Calhoun
44,Alabama,532,24282,US,2022-01-06,Alabama-Calhoun
45,Alabama,533,24507,US,2022-01-07,Alabama-Calhoun
46,Alabama,535,24678,US,2022-01-08,Alabama-Calhoun
47,Alabama,535,24866,US,2022-01-09,Alabama-Calhoun
48,Alabama,147,6402,US,2022-01-04,Alabama-Chambers
49,Alabama,147,6467,US,2022-01-05,Alabama-Chambers
50,Alabama,147,6603,US,2022-01-06,Alabama-Chambers
51,Alabama,147,6689,US,2022-01-07,Alabama-Chambers
52,Alabama,147,6749,US,2022-01-08,Alabama-Chambers
53,Alabama,147,6887,US,2022-01-09,Alabama-Chambers
54,Alabama,66,3448,US,2022-01-04,Alabama-Cherokee
55,Alabama,66,3487,US,2022-01-05,Alabama-Cherokee
56,Alabama,66,3511,US,2022-01-06,Alabama-Cherokee
57,Alabama,66,3550,US,2022-01-07,Alabama-Cherokee
58,Alabama,66,3569,US,2022-01-08,Alabama-Cherokee
59,Alabama,66,3629,US,2022-01-09,Alabama-Cherokee
60,Alabama,173,7571,US,2022-01-04,Alabama-Chilton
61,Alabama,173,7626,US,2022-01-05,Alabama-Chilton
62,Alabama,174,7691,US,2022-01-06,Alabama-Chilton
63,Alabama,175,7778,US,2022-01-07,Alabama-Chilton
64,Alabama,175,7855,US,2022-01-08,Alabama-Chilton
65,Alabama,175,7964,US,2022-01-09,Alabama-Chilton
66,Alabama,30,1045,US,2022-01-04,Alabama-Choctaw
67,Alabama,30,1069,US,2022-01-05,Alabama-Choctaw
68,Alabama,30,1110,US,2022-01-06,Alabama-Choctaw
69,Alabama,30,1138,US,2022-01-07,Alabama-Choctaw
70,Alabama,30,1166,US,2022-01-08,Alabama-Choctaw
71,Alabama,30,1174,US,2022-01-09,Alabama-Choctaw
72,Alabama,88,5009,US,2022-01-04,Alabama-Clarke
73,Alabama,88,5088,US,2022-01-05,Alabama-Clarke
74,Alabama,89,5139,US,2022-01-06,Alabama-Clarke
75,Alabama,89,5218,US,2022-01-07,Alabama-Clarke
76,Alabama,89,5260,US,2022-01-08,Alabama-Clarke
77,Alabama,89,5302,US,2022-01-09,Alabama-Clarke
78,Alabama,69,2723,US,2022-01-04,Alabama-Clay
79,Alabama,69,2756,US,2022-01-05,Alabama-Clay
80,Alabama,69,2801,US,2022-01-06,Alabama-Clay
81,Alabama,69,2834,US,2022-01-07,Alabama-Clay
82,Alabama,70,2846,US,2022-01-08,Alabama-Clay
83,Alabama,70,2901,US,2022-01-09,Alabama-Clay
84,Alabama,60,2679,US,2022-01-04,Alabama-Cleburne
85,Alabama,61,2706,US,2022-01-05,Alabama-Cleburne
86,Alabama,61,2720,US,2022-01-06,Alabama-Cleburne
87,Alabama,61,2747,US,2022-01-07,Alabama-Cleburne
